Subject,Model,FeatureType,accuracy,balanced_accuracy,kappa,sensitivity,specificity,precision,f1
S01,LogReg_L2,Nodes,0.48627450980392156,0.487666092519685,-0.024598963285587194,0.1328125,0.84251968503937,0.4594594594594595,0.20606060606060606
S01,LinearSVM,Nodes,0.48627450980392156,0.487666092519685,-0.024598963285587194,0.1328125,0.84251968503937,0.4594594594594595,0.20606060606060606
S01,RBF_SVM,Nodes,0.49019607843137253,0.4896038385826772,-0.02081665332265814,0.640625,0.33858267716535434,0.4939759036144578,0.5578231292517006
S01,RandomForest,Nodes,0.5137254901960784,0.5151636318897638,0.030239833159541263,0.1484375,0.8818897637795275,0.5588235294117647,0.2345679012345679
S01,GradientBoosting,Nodes,0.5058823529411764,0.5043368602362205,0.008700481303220986,0.8984375,0.11023622047244094,0.5043859649122807,0.6460674157303371
S01,KNN,Nodes,0.5529411764705883,0.5521038385826772,0.1043810462751864,0.765625,0.33858267716535434,0.5384615384615384,0.632258064516129
S02,LogReg_L2,Nodes,0.4744525547445255,0.4744525547445256,-0.051094890510948954,0.24087591240875914,0.708029197080292,0.4520547945205479,0.3142857142857143
S02,LinearSVM,Nodes,0.4708029197080292,0.47080291970802923,-0.058394160583941535,0.23357664233576642,0.708029197080292,0.4444444444444444,0.3062200956937799
S02,RBF_SVM,Nodes,0.5364963503649635,0.5364963503649636,0.07299270072992703,0.4744525547445255,0.5985401459854015,0.5416666666666666,0.5058365758754864
S02,RandomForest,Nodes,0.5,0.5,0.0,0.5766423357664233,0.4233576642335766,0.5,0.535593220338983
S02,GradientBoosting,Nodes,0.4744525547445255,0.4744525547445255,-0.051094890510948954,0.6715328467153284,0.2773722627737226,0.4816753926701571,0.5609756097560976
S02,KNN,Nodes,0.5364963503649635,0.5364963503649636,0.07299270072992703,0.5109489051094891,0.5620437956204379,0.5384615384615384,0.5243445692883895
S05,LogReg_L2,Nodes,0.5691699604743083,0.5698975128108986,0.13959002839224977,0.3858267716535433,0.753968253968254,0.6125,0.47342995169082125
S05,LinearSVM,Nodes,0.5849802371541502,0.5856142982127235,0.17100951786550167,0.4251968503937008,0.746031746031746,0.627906976744186,0.5070422535211268
S05,RBF_SVM,Nodes,0.5731225296442688,0.5742719660042495,0.14820125943013907,0.28346456692913385,0.8650793650793651,0.6792452830188679,0.4
S05,RandomForest,Nodes,0.525691699604743,0.5264966879140107,0.05290741202894933,0.3228346456692913,0.7301587301587301,0.5466666666666666,0.40594059405940597
S05,GradientBoosting,Nodes,0.5296442687747036,0.5310898637670292,0.061999563822164094,0.16535433070866143,0.8968253968253969,0.6176470588235294,0.2608695652173913
S05,KNN,Nodes,0.525691699604743,0.526246719160105,0.05243445692883897,0.3858267716535433,0.6666666666666666,0.5384615384615384,0.44954128440366975
S09,LogReg_L2,Nodes,0.549407114624506,0.5505249343832022,0.10082304526748975,0.2677165354330709,0.8333333333333334,0.6181818181818182,0.37362637362637363
S09,LinearSVM,Nodes,0.5573122529644269,0.5583989501312336,0.11654299432562198,0.28346456692913385,0.8333333333333334,0.631578947368421,0.391304347826087
S09,RBF_SVM,Nodes,0.49407114624505927,0.4959067616547932,-0.008156403710852356,0.031496062992125984,0.9603174603174603,0.4444444444444444,0.058823529411764705
S09,RandomForest,Nodes,0.525691699604743,0.5263717035370579,0.052670993509735364,0.3543307086614173,0.6984126984126984,0.5421686746987951,0.42857142857142855
S09,GradientBoosting,Nodes,0.5098814229249012,0.5104361954755656,0.02084893882646688,0.3700787401574803,0.6507936507936508,0.5164835164835165,0.43119266055045874
S09,KNN,Nodes,0.5612648221343873,0.5609611298587677,0.12199468500859789,0.6377952755905512,0.48412698412698413,0.5547945205479452,0.5934065934065934
S21,LogReg_L2,Nodes,0.592156862745098,0.5920275590551181,0.18410041841004188,0.625,0.5590551181102362,0.5882352941176471,0.6060606060606061
S21,LinearSVM,Nodes,0.5882352941176471,0.5880597933070866,0.17617919448632358,0.6328125,0.5433070866141733,0.5827338129496403,0.6067415730337079
S21,RBF_SVM,Nodes,0.5529411764705883,0.5522268700787402,0.10460173720199595,0.734375,0.3700787401574803,0.5402298850574713,0.6225165562913907
S21,RandomForest,Nodes,0.5058823529411764,0.5055056594488189,0.01101945333661658,0.6015625,0.4094488188976378,0.506578947368421,0.55
S21,GradientBoosting,Nodes,0.5372549019607843,0.5368479330708662,0.07375484824231981,0.640625,0.4330708661417323,0.5324675324675324,0.5815602836879432
S21,KNN,Nodes,0.47843137254901963,0.4783464566929134,-0.04331374780816444,0.5,0.4566929133858268,0.48120300751879697,0.4904214559386973
S31,LogReg_L2,Nodes,0.47843137254901963,0.4795152559055118,-0.04088021360832328,0.203125,0.7559055118110236,0.45614035087719296,0.2810810810810811
S31,LinearSVM,Nodes,0.47843137254901963,0.4795152559055118,-0.04088021360832328,0.203125,0.7559055118110236,0.45614035087719296,0.2810810810810811
S31,RBF_SVM,Nodes,0.4980392156862745,0.5,0.0,0.0,1.0,0.0,0.0
S31,RandomForest,Nodes,0.5019607843137255,0.5016609251968505,0.003323792816914528,0.578125,0.4251968503937008,0.5034013605442177,0.5381818181818182
S31,GradientBoosting,Nodes,0.4666666666666667,0.4657357283464567,-0.06865524466904982,0.703125,0.2283464566929134,0.4787234042553192,0.569620253164557
S31,KNN,Nodes,0.43137254901960786,0.4315329724409449,-0.13688774098330425,0.390625,0.47244094488188976,0.42735042735042733,0.40816326530612246
S34,LogReg_L2,Nodes,0.5355648535564853,0.5344887955182073,0.06912523246429703,0.7916666666666666,0.2773109243697479,0.5248618784530387,0.6312292358803987
S34,LinearSVM,Nodes,0.5062761506276151,0.504796918767507,0.009622137940721975,0.8583333333333333,0.15126050420168066,0.5049019607843137,0.6358024691358025
S34,RBF_SVM,Nodes,0.497907949790795,0.5,0.0,0.0,1.0,0.0,0.0
S34,RandomForest,Nodes,0.5230125523012552,0.5233543417366946,0.0466759972008397,0.44166666666666665,0.6050420168067226,0.53,0.4818181818181818
S34,GradientBoosting,Nodes,0.5648535564853556,0.5647759103641457,0.12956996778260266,0.5833333333333334,0.5462184873949579,0.5645161290322581,0.5737704918032787
S34,KNN,Nodes,0.5732217573221757,0.57296918767507,0.1460099488544806,0.6333333333333333,0.5126050420168067,0.5671641791044776,0.5984251968503937
S39,LogReg_L2,Nodes,0.602510460251046,0.6038865546218488,0.2071999720660639,0.275,0.9327731092436975,0.8048780487804879,0.40993788819875776
S39,LinearSVM,Nodes,0.5899581589958159,0.5908263305322129,0.18133519748339744,0.38333333333333336,0.7983193277310925,0.6571428571428571,0.4842105263157895
S39,RBF_SVM,Nodes,0.5062761506276151,0.5066526610644257,0.013295080820096561,0.4166666666666667,0.5966386554621849,0.5102040816326531,0.45871559633027525
S39,RandomForest,Nodes,0.4895397489539749,0.48977591036414564,-0.020438160565549035,0.43333333333333335,0.5462184873949579,0.49056603773584906,0.46017699115044247
S39,GradientBoosting,Nodes,0.4476987447698745,0.4476190476190476,-0.10477657935285056,0.4666666666666667,0.42857142857142855,0.45161290322580644,0.45901639344262296
S39,KNN,Nodes,0.497907949790795,0.4984593837535014,-0.0030777839955231645,0.36666666666666664,0.6302521008403361,0.5,0.4230769230769231
S01,LogReg_L2,Edges,0.4980392156862745,0.49996924212598426,-6.12782645994514e-05,0.0078125,0.9921259842519685,0.5,0.015384615384615385
S01,LinearSVM,Edges,0.5176470588235295,0.5193467027559056,0.03856175091193337,0.0859375,0.952755905511811,0.6470588235294118,0.15172413793103448
S01,RBF_SVM,Edges,0.4980392156862745,0.5,0.0,0.0,1.0,0.0,0.0
S01,RandomForest,Edges,0.5137254901960784,0.5150406003937008,0.030001840603718133,0.1796875,0.8503937007874016,0.5476190476190477,0.27058823529411763
S01,GradientBoosting,Edges,0.5254901960784314,0.5270054133858268,0.053846861488454745,0.140625,0.9133858267716536,0.6206896551724138,0.22929936305732485
S01,KNN,Edges,0.5333333333333333,0.5330647145669292,0.06616402523465148,0.6015625,0.4645669291338583,0.5310344827586206,0.5641025641025641
S02,LogReg_L2,Edges,0.5912408759124088,0.5912408759124088,0.18248175182481752,0.48175182481751827,0.7007299270072993,0.616822429906542,0.5409836065573771
S02,LinearSVM,Edges,0.5948905109489051,0.5948905109489051,0.1897810218978102,0.49635036496350365,0.6934306569343066,0.6181818181818182,0.5506072874493927
S02,RBF_SVM,Edges,0.5328467153284672,0.5328467153284672,0.06569343065693434,0.6788321167883211,0.38686131386861317,0.5254237288135594,0.5923566878980892
S02,RandomForest,Edges,0.6277372262773723,0.6277372262773723,0.25547445255474455,0.5912408759124088,0.6642335766423357,0.6377952755905512,0.6136363636363636
S02,GradientBoosting,Edges,0.572992700729927,0.572992700729927,0.14598540145985406,0.656934306569343,0.48905109489051096,0.5625,0.6060606060606061
S02,KNN,Edges,0.5547445255474452,0.5547445255474452,0.10948905109489049,0.5547445255474452,0.5547445255474452,0.5547445255474452,0.5547445255474452
S05,LogReg_L2,Edges,0.5612648221343873,0.5619922509686289,0.12380268946366724,0.3779527559055118,0.746031746031746,0.6,0.463768115942029
S05,LinearSVM,Edges,0.5928853754940712,0.5935195600549932,0.1867998127633016,0.4330708661417323,0.753968253968254,0.6395348837209303,0.5164319248826291
S05,RBF_SVM,Edges,0.549407114624506,0.5507124109486314,0.1011593118922961,0.2204724409448819,0.8809523809523809,0.6511627906976745,0.32941176470588235
S05,RandomForest,Edges,0.5177865612648221,0.5193413323334584,0.03856217293795161,0.12598425196850394,0.9126984126984127,0.5925925925925926,0.2077922077922078
S05,GradientBoosting,Edges,0.5296442687747036,0.5300274965629297,0.06000811764338565,0.4330708661417323,0.626984126984127,0.5392156862745098,0.48034934497816595
S05,KNN,Edges,0.49407114624505927,0.49509436320459943,-0.009791082008107299,0.23622047244094488,0.753968253968254,0.4918032786885246,0.3191489361702128
S09,LogReg_L2,Edges,0.6442687747035574,0.6451068616422947,0.2897248736664795,0.4330708661417323,0.8571428571428571,0.7534246575342466,0.55
S09,LinearSVM,Edges,0.6363636363636364,0.6372328458942632,0.2739862757330006,0.41732283464566927,0.8571428571428571,0.7464788732394366,0.5353535353535354
S09,RBF_SVM,Edges,0.5652173913043478,0.5668041494813149,0.13318382856786903,0.16535433070866143,0.9682539682539683,0.84,0.27631578947368424
S09,RandomForest,Edges,0.5454545454545454,0.5468691413573303,0.09347250350521896,0.1889763779527559,0.9047619047619048,0.6666666666666666,0.294478527607362
S09,GradientBoosting,Edges,0.6482213438735178,0.6487939007624046,0.2972441559252208,0.5039370078740157,0.7936507936507936,0.7111111111111111,0.5898617511520737
S09,KNN,Edges,0.5612648221343873,0.5622109736282965,0.12418524871355052,0.3228346456692913,0.8015873015873016,0.6212121212121212,0.42487046632124353
S21,LogReg_L2,Edges,0.7019607843137254,0.7016178641732284,0.4035087719298245,0.7890625,0.6141732283464567,0.6733333333333333,0.7266187050359713
S21,LinearSVM,Edges,0.6901960784313725,0.6897453248031495,0.3798294492503771,0.8046875,0.5748031496062992,0.6560509554140127,0.7228070175438597
S21,RBF_SVM,Edges,0.5254901960784314,0.5271284448818898,0.054078911064103674,0.109375,0.9448818897637795,0.6666666666666666,0.18791946308724833
S21,RandomForest,Edges,0.5372549019607843,0.5373708169291338,0.07472324723247237,0.5078125,0.5669291338582677,0.5416666666666666,0.5241935483870968
S21,GradientBoosting,Edges,0.5568627450980392,0.5580093503937008,0.11575168011783832,0.265625,0.8503937007874016,0.6415094339622641,0.3756906077348066
S21,KNN,Edges,0.48627450980392156,0.4867433562992126,-0.026488031220231578,0.3671875,0.6062992125984252,0.4845360824742268,0.4177777777777778
S31,LogReg_L2,Edges,0.6,0.5994709645669292,0.1991501939774617,0.734375,0.4645669291338583,0.5802469135802469,0.6482758620689655
S31,LinearSVM,Edges,0.5882352941176471,0.5877214566929134,0.17562117060254323,0.71875,0.4566929133858268,0.5714285714285714,0.6366782006920415
S31,RBF_SVM,Edges,0.5764705882352941,0.5760949803149606,0.15230238857424283,0.671875,0.48031496062992124,0.5657894736842105,0.6142857142857143
S31,RandomForest,Edges,0.5882352941176471,0.5873216043307087,0.17496071241487698,0.8203125,0.3543307086614173,0.5614973262032086,0.6666666666666666
S31,GradientBoosting,Edges,0.5411764705882353,0.5404466043307087,0.08101031880486675,0.7265625,0.3543307086614173,0.5314285714285715,0.6138613861386139
S31,KNN,Edges,0.5725490196078431,0.5721579724409449,0.14442700156985877,0.671875,0.47244094488188976,0.5620915032679739,0.6120996441281139
S34,LogReg_L2,Edges,0.6485355648535565,0.6485994397759103,0.2971572608878309,0.6333333333333333,0.6638655462184874,0.6551724137931034,0.6440677966101694
S34,LinearSVM,Edges,0.6485355648535565,0.6487745098039216,0.29740323370896615,0.5916666666666667,0.7058823529411765,0.6698113207547169,0.6283185840707964
S34,RBF_SVM,Edges,0.6192468619246861,0.6182773109243698,0.23701105069286088,0.85,0.3865546218487395,0.5828571428571429,0.6915254237288135
S34,RandomForest,Edges,0.5271966527196653,0.5271008403361345,0.05421117142356857,0.55,0.5042016806722689,0.528,0.5387755102040817
S34,GradientBoosting,Edges,0.5146443514644351,0.5152310924369747,0.030425963488843855,0.375,0.6554621848739496,0.5232558139534884,0.4368932038834951
S34,KNN,Edges,0.5271966527196653,0.5271008403361345,0.05421117142356857,0.55,0.5042016806722689,0.528,0.5387755102040817
S39,LogReg_L2,Edges,0.6652719665271967,0.6651960784313726,0.33043843675584816,0.6833333333333333,0.6470588235294118,0.6612903225806451,0.6721311475409836
S39,LinearSVM,Edges,0.6569037656903766,0.656687675070028,0.31350707580215775,0.7083333333333334,0.6050420168067226,0.6439393939393939,0.6746031746031746
S39,RBF_SVM,Edges,0.497907949790795,0.5,0.0,0.0,1.0,0.0,0.0
S39,RandomForest,Edges,0.5648535564853556,0.5651960784313725,0.13030090972708186,0.48333333333333334,0.6470588235294118,0.58,0.5272727272727272
S39,GradientBoosting,Edges,0.5774058577405857,0.5778011204481793,0.15547703180212002,0.48333333333333334,0.6722689075630253,0.5979381443298969,0.5345622119815668
S39,KNN,Edges,0.5104602510460251,0.5118697478991596,0.023672357808735667,0.175,0.8487394957983193,0.5384615384615384,0.2641509433962264
S01,LogReg_L2,Concat,0.4980392156862745,0.49996924212598426,-6.12782645994514e-05,0.0078125,0.9921259842519685,0.5,0.015384615384615385
S01,LinearSVM,Concat,0.5176470588235295,0.5193467027559056,0.03856175091193337,0.0859375,0.952755905511811,0.6470588235294118,0.15172413793103448
S01,RBF_SVM,Concat,0.4980392156862745,0.5,0.0,0.0,1.0,0.0,0.0
S01,RandomForest,Concat,0.5372549019607843,0.5382935531496063,0.0764272559852669,0.2734375,0.8031496062992126,0.5833333333333334,0.3723404255319149
S01,GradientBoosting,Concat,0.5058823529411764,0.5074741633858268,0.01490066225165565,0.1015625,0.9133858267716536,0.5416666666666666,0.17105263157894737
S01,KNN,Concat,0.48627450980392156,0.4878198818897638,-0.024284794407138266,0.09375,0.8818897637795275,0.4444444444444444,0.15483870967741936
S02,LogReg_L2,Concat,0.5912408759124088,0.5912408759124088,0.18248175182481752,0.4744525547445255,0.708029197080292,0.6190476190476191,0.5371900826446281
S02,LinearSVM,Concat,0.5948905109489051,0.5948905109489051,0.1897810218978102,0.49635036496350365,0.6934306569343066,0.6181818181818182,0.5506072874493927
S02,RBF_SVM,Concat,0.5474452554744526,0.5474452554744526,0.0948905109489051,0.6934306569343066,0.40145985401459855,0.536723163841808,0.6050955414012739
S02,RandomForest,Concat,0.6058394160583942,0.6058394160583942,0.21167883211678828,0.5182481751824818,0.6934306569343066,0.6283185840707964,0.568
S02,GradientBoosting,Concat,0.551094890510949,0.5510948905109488,0.1021897810218978,0.4233576642335766,0.6788321167883211,0.5686274509803921,0.48535564853556484
S02,KNN,Concat,0.5583941605839416,0.5583941605839415,0.11678832116788318,0.5693430656934306,0.5474452554744526,0.5571428571428572,0.5631768953068592
S05,LogReg_L2,Concat,0.5691699604743083,0.5698975128108986,0.13959002839224977,0.3858267716535433,0.753968253968254,0.6125,0.47342995169082125
S05,LinearSVM,Concat,0.5849802371541502,0.5856142982127235,0.17100951786550167,0.4251968503937008,0.746031746031746,0.627906976744186,0.5070422535211268
S05,RBF_SVM,Concat,0.5612648221343873,0.5620547431571054,0.12391202620496022,0.36220472440944884,0.7619047619047619,0.6052631578947368,0.45320197044334976
S05,RandomForest,Concat,0.5177865612648221,0.5194663167104112,0.0388016940707524,0.09448818897637795,0.9444444444444444,0.631578947368421,0.1643835616438356
S05,GradientBoosting,Concat,0.5019762845849802,0.5035933008373953,0.007163323782234943,0.09448818897637795,0.9126984126984127,0.5217391304347826,0.16
S05,KNN,Concat,0.525691699604743,0.5266216722909636,0.0531437125748504,0.29133858267716534,0.7619047619047619,0.5522388059701493,0.38144329896907214
S09,LogReg_L2,Concat,0.6482213438735178,0.6490438695163104,0.2975949090682223,0.4409448818897638,0.8571428571428571,0.7567567567567568,0.5572139303482587
S09,LinearSVM,Concat,0.6403162055335968,0.641169853768279,0.28185532923671974,0.4251968503937008,0.8571428571428571,0.75,0.542713567839196
S09,RBF_SVM,Concat,0.5612648221343873,0.5628358955130609,0.1252764366921041,0.16535433070866143,0.9603174603174603,0.8076923076923077,0.27450980392156865
S09,RandomForest,Concat,0.5928853754940712,0.59392575928009,0.18745907517695115,0.33070866141732286,0.8571428571428571,0.7,0.44919786096256686
S09,GradientBoosting,Concat,0.6363636363636364,0.6367954005749281,0.27335164835164827,0.5275590551181102,0.746031746031746,0.6767676767676768,0.5929203539823009
S09,KNN,Concat,0.5928853754940712,0.5936132983377078,0.18695204517799757,0.4094488188976378,0.7777777777777778,0.65,0.5024154589371981
S21,LogReg_L2,Concat,0.7058823529411765,0.7055241141732284,0.411339222506079,0.796875,0.6141732283464567,0.6754966887417219,0.7311827956989247
S21,LinearSVM,Concat,0.6941176470588235,0.6936515748031495,0.38766085832153185,0.8125,0.5748031496062992,0.6582278481012658,0.7272727272727273
S21,RBF_SVM,Concat,0.5137254901960784,0.515255905511811,0.03041825095057027,0.125,0.905511811023622,0.5714285714285714,0.20512820512820512
S21,RandomForest,Concat,0.5725490196078431,0.573357529527559,0.1464762782128053,0.3671875,0.7795275590551181,0.6266666666666667,0.4630541871921182
S21,GradientBoosting,Concat,0.5176470588235295,0.5189468503937008,0.037794889100223994,0.1875,0.8503937007874016,0.5581395348837209,0.2807017543859649
S21,KNN,Concat,0.4980392156862745,0.4984621062992126,-0.003073140749846548,0.390625,0.6062992125984252,0.5,0.43859649122807015
S31,LogReg_L2,Concat,0.6,0.5994709645669292,0.1991501939774617,0.734375,0.4645669291338583,0.5802469135802469,0.6482758620689655
S31,LinearSVM,Concat,0.5882352941176471,0.5877214566929134,0.17562117060254323,0.71875,0.4566929133858268,0.5714285714285714,0.6366782006920415
S31,RBF_SVM,Concat,0.5843137254901961,0.5839997539370079,0.1681029176412655,0.6640625,0.5039370078740157,0.5743243243243243,0.6159420289855072
S31,RandomForest,Concat,0.6313725490196078,0.6315206692913387,0.2629604575364368,0.59375,0.6692913385826772,0.6440677966101694,0.6178861788617886
S31,GradientBoosting,Concat,0.5490196078431373,0.5483821358267716,0.09688645252687023,0.7109375,0.3858267716535433,0.5384615384615384,0.6127946127946128
S31,KNN,Concat,0.5529411764705883,0.5525959645669292,0.10526315789473684,0.640625,0.4645669291338583,0.5466666666666666,0.5899280575539568
S34,LogReg_L2,Concat,0.6485355648535565,0.6485994397759103,0.2971572608878309,0.6333333333333333,0.6638655462184874,0.6551724137931034,0.6440677966101694
S34,LinearSVM,Concat,0.6485355648535565,0.6487745098039216,0.29740323370896615,0.5916666666666667,0.7058823529411765,0.6698113207547169,0.6283185840707964
S34,RBF_SVM,Concat,0.6234309623430963,0.622233893557423,0.2450512424540221,0.9083333333333333,0.33613445378151263,0.5797872340425532,0.7077922077922078
S34,RandomForest,Concat,0.5564853556485355,0.5560224089635855,0.1121469124553165,0.6666666666666666,0.44537815126050423,0.547945205479452,0.6015037593984962
S34,GradientBoosting,Concat,0.502092050209205,0.5013655462184874,0.002735018759423502,0.675,0.3277310924369748,0.5031055900621118,0.5765124555160143
S34,KNN,Concat,0.5397489539748954,0.5394957983193277,0.07903033699993,0.6,0.4789915966386555,0.5373134328358209,0.5669291338582677
S39,LogReg_L2,Concat,0.6778242677824268,0.6776610644257703,0.3554341354068158,0.7166666666666667,0.6386554621848739,0.6666666666666666,0.6907630522088354
S39,LinearSVM,Concat,0.6527196652719666,0.6524859943977591,0.30511086979367363,0.7083333333333334,0.5966386554621849,0.6390977443609023,0.6719367588932806
S39,RBF_SVM,Concat,0.5355648535564853,0.5362394957983193,0.07238015315220803,0.375,0.6974789915966386,0.5555555555555556,0.44776119402985076
S39,RandomForest,Concat,0.5732217573221757,0.5731442577030812,0.1463090068637064,0.5916666666666667,0.5546218487394958,0.5725806451612904,0.5819672131147541
S39,GradientBoosting,Concat,0.5606694560669456,0.5605742296918768,0.12116967256172295,0.5833333333333334,0.5378151260504201,0.56,0.5714285714285714
S39,KNN,Concat,0.5104602510460251,0.5116246498599439,0.023194885946833388,0.23333333333333334,0.7899159663865546,0.5283018867924528,0.3236994219653179
