subject,metric,feature_type,n_features_valid,stability_percentile,kl_percentile,stable_count,highKL_count,stable_and_highKL_count,mean_cv_edges,mean_cv_ns,mean_kl_edges,mean_kl_ns,cv,kl,frac_sd,rank_frac_sd,rank_kl,rank_cv,borda_score_subject,subject_rank
1,PLV,edges,171,30.0,70.0,52,52,25,0.22495083045028988,0.19438667576958263,0.33379758654991415,0.27042026306542855,0.22495083045028988,0.33379758654991415,0.14619883040935672,1.0,8.0,2.0,11.0,2.0
1,PLV,ns,19,30.0,70.0,6,6,1,0.22495083045028988,0.19438667576958263,0.33379758654991415,0.27042026306542855,0.19438667576958263,0.27042026306542855,0.05263157894736842,5.0,7.0,2.0,14.0,5.0
2,PLV,edges,171,30.0,70.0,52,52,13,0.2862339810822484,0.22469941887494457,0.5300017001688297,0.7182974397613753,0.2862339810822484,0.5300017001688297,0.07602339181286549,7.0,3.0,2.0,12.0,3.0
2,PLV,ns,19,30.0,70.0,6,6,2,0.2862339810822484,0.22469941887494457,0.5300017001688297,0.7182974397613753,0.22469941887494457,0.7182974397613753,0.10526315789473684,5.0,1.0,2.0,8.0,2.0
5,PLV,edges,171,30.0,70.0,52,52,13,0.16411833257200642,0.13591225710279825,0.5401096158324138,0.4782198917585588,0.16411833257200642,0.5401096158324138,0.07602339181286549,5.0,9.0,2.0,16.0,6.0
5,PLV,ns,19,30.0,70.0,6,6,1,0.16411833257200642,0.13591225710279825,0.5401096158324138,0.4782198917585588,0.13591225710279825,0.4782198917585588,0.05263157894736842,7.0,7.0,2.0,16.0,5.0
9,PLV,edges,171,30.0,70.0,52,52,20,0.2715764442453736,0.16683218018389112,0.5061285950236755,0.4606161723513129,0.2715764442453736,0.5061285950236755,0.11695906432748537,1.0,8.0,2.0,11.0,1.0
9,PLV,ns,19,30.0,70.0,6,6,1,0.2715764442453736,0.16683218018389112,0.5061285950236755,0.4606161723513129,0.16683218018389112,0.4606161723513129,0.05263157894736842,7.0,8.0,1.0,16.0,6.0
21,PLV,edges,171,30.0,70.0,52,52,16,0.20502301120331706,0.11777658505086686,0.5852296859687601,0.5666872455061965,0.20502301120331706,0.5852296859687601,0.0935672514619883,2.0,3.0,3.0,8.0,2.0
21,PLV,ns,19,30.0,70.0,6,6,2,0.20502301120331706,0.11777658505086686,0.5852296859687601,0.5666872455061965,0.11777658505086686,0.5666872455061965,0.10526315789473684,4.0,3.0,3.0,10.0,2.0
31,PLV,edges,171,30.0,70.0,52,52,11,0.22178385264113493,0.14990149967562685,0.6249535254923815,0.490424753091516,0.22178385264113493,0.6249535254923815,0.06432748538011696,9.0,1.0,2.0,12.0,1.0
31,PLV,ns,19,30.0,70.0,6,6,2,0.22178385264113493,0.14990149967562685,0.6249535254923815,0.490424753091516,0.14990149967562685,0.490424753091516,0.10526315789473684,5.0,6.0,2.0,13.0,4.0
34,PLV,edges,171,30.0,70.0,52,52,18,0.2608530925884731,0.13400949129160192,0.5629387347532934,0.6441521751799383,0.2608530925884731,0.5629387347532934,0.10526315789473684,3.0,8.0,3.0,14.0,4.0
34,PLV,ns,19,30.0,70.0,6,6,1,0.2608530925884731,0.13400949129160192,0.5629387347532934,0.6441521751799383,0.13400949129160192,0.6441521751799383,0.05263157894736842,7.0,7.0,3.0,17.0,6.0
39,PLV,edges,171,30.0,70.0,52,52,12,0.2315946541522921,0.11295865953701834,0.9196336175006847,1.0226828227200475,0.2315946541522921,0.9196336175006847,0.07017543859649122,7.0,1.0,3.0,11.0,3.0
39,PLV,ns,19,30.0,70.0,6,6,2,0.2315946541522921,0.11295865953701834,0.9196336175006847,1.0226828227200475,0.11295865953701834,1.0226828227200475,0.10526315789473684,3.0,1.0,2.0,6.0,1.0
1,ImagPLV,edges,171,30.0,70.0,52,52,16,12.766484379912239,0.46176404935333115,0.5738805865215213,0.45609307915091873,12.766484379912239,0.5738805865215213,0.0935672514619883,6.0,3.0,8.0,17.0,6.0
1,ImagPLV,ns,19,30.0,70.0,6,6,1,12.766484379912239,0.46176404935333115,0.5738805865215213,0.45609307915091873,0.46176404935333115,0.45609307915091873,0.05263157894736842,5.0,5.0,7.0,17.0,7.0
2,ImagPLV,edges,171,30.0,70.0,52,52,15,30.39793059996417,0.4640656642778441,0.4996450185693391,0.639283014181396,30.39793059996417,0.4996450185693391,0.08771929824561403,4.0,5.0,8.0,17.0,5.0
2,ImagPLV,ns,19,30.0,70.0,6,6,0,30.39793059996417,0.4640656642778441,0.4996450185693391,0.639283014181396,0.4640656642778441,0.639283014181396,0.0,9.0,3.0,7.0,19.0,6.0
5,ImagPLV,edges,171,30.0,70.0,52,52,10,17.2578474828467,0.5841806948657646,0.5692567999686369,0.4686728472896465,17.2578474828467,0.5692567999686369,0.05847953216374269,8.0,8.0,8.0,24.0,9.0
5,ImagPLV,ns,19,30.0,70.0,6,6,3,17.2578474828467,0.5841806948657646,0.5692567999686369,0.4686728472896465,0.5841806948657646,0.4686728472896465,0.15789473684210525,1.0,8.0,7.0,16.0,5.0
9,ImagPLV,edges,171,30.0,70.0,52,52,19,17.916666297866612,0.378616997914329,0.6459965737314391,0.6223377470952677,17.916666297866612,0.6459965737314391,0.1111111111111111,2.0,4.0,9.0,15.0,5.0
9,ImagPLV,ns,19,30.0,70.0,6,6,1,17.916666297866612,0.378616997914329,0.6459965737314391,0.6223377470952677,0.378616997914329,0.6223377470952677,0.05263157894736842,7.0,4.0,7.0,18.0,8.0
21,ImagPLV,edges,171,30.0,70.0,52,52,16,5.0953404348463085,0.427455856617612,0.5587964139657314,0.6068169153918617,5.0953404348463085,0.5587964139657314,0.0935672514619883,2.0,5.0,8.0,15.0,5.0
21,ImagPLV,ns,19,30.0,70.0,6,6,2,5.0953404348463085,0.427455856617612,0.5587964139657314,0.6068169153918617,0.427455856617612,0.6068169153918617,0.10526315789473684,4.0,2.0,8.0,14.0,3.0
31,ImagPLV,edges,171,30.0,70.0,52,52,17,9.937658057213547,0.4473542140397864,0.6150395612408678,0.6268956648854899,9.937658057213547,0.6150395612408678,0.09941520467836257,2.0,3.0,9.0,14.0,5.0
31,ImagPLV,ns,19,30.0,70.0,6,6,2,9.937658057213547,0.4473542140397864,0.6150395612408678,0.6268956648854899,0.4473542140397864,0.6268956648854899,0.10526315789473684,5.0,3.0,9.0,17.0,7.0
34,ImagPLV,edges,171,30.0,70.0,52,52,14,12.665354408649648,0.3485843088808034,0.657343820950495,0.6550356260961159,12.665354408649648,0.657343820950495,0.08187134502923976,7.0,3.0,8.0,18.0,8.0
34,ImagPLV,ns,19,30.0,70.0,6,6,2,12.665354408649648,0.3485843088808034,0.657343820950495,0.6550356260961159,0.3485843088808034,0.6550356260961159,0.10526315789473684,3.0,6.0,8.0,17.0,6.0
39,ImagPLV,edges,171,30.0,70.0,52,52,9,7.915274130592836,0.3871788257326273,0.7802286428296762,0.5197877043609359,7.915274130592836,0.7802286428296762,0.05263157894736842,9.0,4.0,8.0,21.0,8.0
39,ImagPLV,ns,19,30.0,70.0,6,6,2,7.915274130592836,0.3871788257326273,0.7802286428296762,0.5197877043609359,0.3871788257326273,0.5197877043609359,0.10526315789473684,3.0,8.0,8.0,19.0,8.0
1,PLI,edges,171,30.0,70.0,52,52,13,0.7509483782206581,0.40038681198600756,0.5318418226205587,0.4786728451817775,0.7509483782206581,0.5318418226205587,0.07602339181286549,8.0,4.0,7.0,19.0,8.0
1,PLI,ns,19,30.0,70.0,6,6,3,0.7509483782206581,0.40038681198600756,0.5318418226205587,0.4786728451817775,0.40038681198600756,0.4786728451817775,0.15789473684210525,2.0,3.0,5.0,10.0,1.0
2,PLI,edges,171,30.0,70.0,52,52,12,0.8050666064016276,0.4292441013124414,0.48355109101061605,0.5031775089655097,0.8050666064016276,0.48355109101061605,0.07017543859649122,8.0,7.0,6.0,21.0,9.0
2,PLI,ns,19,30.0,70.0,6,6,2,0.8050666064016276,0.4292441013124414,0.48355109101061605,0.5031775089655097,0.4292441013124414,0.5031775089655097,0.10526315789473684,5.0,6.0,5.0,16.0,5.0
5,PLI,edges,171,30.0,70.0,52,52,17,0.877806351267242,0.5368059035816038,0.651149734361255,0.5586255418004851,0.877806351267242,0.651149734361255,0.09941520467836257,3.0,2.0,7.0,12.0,4.0
5,PLI,ns,19,30.0,70.0,6,6,2,0.877806351267242,0.5368059035816038,0.651149734361255,0.5586255418004851,0.5368059035816038,0.5586255418004851,0.10526315789473684,3.0,5.0,6.0,14.0,4.0
9,PLI,edges,171,30.0,70.0,52,52,17,0.7370241110827953,0.3578802990121493,0.592499444787048,0.4968447564237904,0.7370241110827953,0.592499444787048,0.09941520467836257,3.0,5.0,6.0,14.0,4.0
9,PLI,ns,19,30.0,70.0,6,6,1,0.7370241110827953,0.3578802990121493,0.592499444787048,0.4968447564237904,0.3578802990121493,0.4968447564237904,0.05263157894736842,7.0,7.0,5.0,19.0,9.0
21,PLI,edges,171,30.0,70.0,52,52,12,0.7560353985716851,0.4091906178740592,0.5193063670763555,0.612826682665924,0.7560353985716851,0.5193063670763555,0.07017543859649122,6.0,8.0,7.0,21.0,8.0
21,PLI,ns,19,30.0,70.0,6,6,4,0.7560353985716851,0.4091906178740592,0.5193063670763555,0.612826682665924,0.4091906178740592,0.612826682665924,0.21052631578947367,1.0,1.0,6.0,8.0,1.0
31,PLI,edges,171,30.0,70.0,52,52,15,0.7614618858843543,0.4182290147087326,0.48954892075058604,0.6416442671789772,0.7614618858843543,0.48954892075058604,0.08771929824561403,4.0,6.0,7.0,17.0,8.0
31,PLI,ns,19,30.0,70.0,6,6,4,0.7614618858843543,0.4182290147087326,0.48954892075058604,0.6416442671789772,0.4182290147087326,0.6416442671789772,0.21052631578947367,1.0,2.0,5.0,8.0,1.0
34,PLI,edges,171,30.0,70.0,52,52,13,0.74284724641446,0.33116121753663397,0.5732515359546574,0.6819600200512376,0.74284724641446,0.5732515359546574,0.07602339181286549,8.0,7.0,7.0,22.0,9.0
34,PLI,ns,19,30.0,70.0,6,6,3,0.74284724641446,0.33116121753663397,0.5732515359546574,0.6819600200512376,0.33116121753663397,0.6819600200512376,0.15789473684210525,1.0,5.0,6.0,12.0,3.0
39,PLI,edges,171,30.0,70.0,52,52,16,0.7121793332238904,0.3678563512007701,0.6022814253956055,0.3981384308538278,0.7121793332238904,0.6022814253956055,0.0935672514619883,2.0,8.0,7.0,17.0,6.0
39,PLI,ns,19,30.0,70.0,6,6,2,0.7121793332238904,0.3678563512007701,0.6022814253956055,0.3981384308538278,0.3678563512007701,0.3981384308538278,0.10526315789473684,3.0,9.0,6.0,18.0,7.0
1,wPLI,edges,171,30.0,70.0,52,52,12,0.7342607466815846,0.4253727084178842,0.47560638307339137,0.5397595793567902,0.7342607466815846,0.47560638307339137,0.07017543859649122,9.0,5.0,6.0,20.0,9.0
1,wPLI,ns,19,30.0,70.0,6,6,0,0.7342607466815846,0.4253727084178842,0.47560638307339137,0.5397595793567902,0.4253727084178842,0.5397595793567902,0.0,9.0,2.0,6.0,17.0,7.0
2,wPLI,edges,171,30.0,70.0,52,52,14,0.7924245569111117,0.45434345956686795,0.478543766568104,0.4680532448513355,0.7924245569111117,0.478543766568104,0.08187134502923976,5.0,8.0,5.0,18.0,7.0
2,wPLI,ns,19,30.0,70.0,6,6,1,0.7924245569111117,0.45434345956686795,0.478543766568104,0.4680532448513355,0.45434345956686795,0.4680532448513355,0.05263157894736842,8.0,8.0,6.0,22.0,9.0
5,wPLI,edges,171,30.0,70.0,52,52,13,0.8428515468631408,0.5248535400217005,0.6376152578863534,0.6134407652945191,0.8428515468631408,0.6376152578863534,0.07602339181286549,5.0,3.0,6.0,14.0,5.0
5,wPLI,ns,19,30.0,70.0,6,6,2,0.8428515468631408,0.5248535400217005,0.6376152578863534,0.6134407652945191,0.5248535400217005,0.6134407652945191,0.10526315789473684,3.0,3.0,5.0,11.0,3.0
9,wPLI,edges,171,30.0,70.0,52,52,12,0.7092021401750862,0.3717121363909724,0.5137007353108833,0.6946060664782244,0.7092021401750862,0.5137007353108833,0.07017543859649122,7.0,7.0,5.0,19.0,9.0
9,wPLI,ns,19,30.0,70.0,6,6,4,0.7092021401750862,0.3717121363909724,0.5137007353108833,0.6946060664782244,0.3717121363909724,0.6946060664782244,0.21052631578947367,1.0,2.0,6.0,9.0,1.0
21,wPLI,edges,171,30.0,70.0,52,52,14,0.7297172091715304,0.4217007295157759,0.45176352360392685,0.45178975925286863,0.7297172091715304,0.45176352360392685,0.08187134502923976,4.0,9.0,6.0,19.0,6.0
21,wPLI,ns,19,30.0,70.0,6,6,3,0.7297172091715304,0.4217007295157759,0.45176352360392685,0.45178975925286863,0.4217007295157759,0.45178975925286863,0.15789473684210525,2.0,9.0,7.0,18.0,9.0
31,wPLI,edges,171,30.0,70.0,52,52,13,0.735507672872991,0.44294857295857415,0.47936281793722985,0.5408182144119928,0.735507672872991,0.47936281793722985,0.07602339181286549,7.0,7.0,6.0,20.0,9.0
31,wPLI,ns,19,30.0,70.0,6,6,3,0.735507672872991,0.44294857295857415,0.47936281793722985,0.5408182144119928,0.44294857295857415,0.5408182144119928,0.15789473684210525,2.0,4.0,7.0,13.0,4.0
34,wPLI,edges,171,30.0,70.0,52,52,20,0.7204969962757518,0.3422339240978781,0.5216729719543916,0.4535734174942278,0.7204969962757518,0.5216729719543916,0.11695906432748537,1.0,9.0,6.0,16.0,6.0
34,wPLI,ns,19,30.0,70.0,6,6,2,0.7204969962757518,0.3422339240978781,0.5216729719543916,0.4535734174942278,0.3422339240978781,0.4535734174942278,0.10526315789473684,3.0,9.0,7.0,19.0,8.0
39,wPLI,edges,171,30.0,70.0,52,52,11,0.6823961332780746,0.37192965955720986,0.5550602109391372,0.5412879102251411,0.6823961332780746,0.5550602109391372,0.06432748538011696,8.0,9.0,6.0,23.0,9.0
39,wPLI,ns,19,30.0,70.0,6,6,2,0.6823961332780746,0.37192965955720986,0.5550602109391372,0.5412879102251411,0.37192965955720986,0.5412879102251411,0.10526315789473684,3.0,7.0,7.0,17.0,6.0
1,Coh,edges,171,30.0,70.0,52,52,22,0.1930432233321358,0.1675829752741672,0.4100928282708753,0.2268528720418325,0.1930432233321358,0.4100928282708753,0.1286549707602339,2.0,6.0,1.0,9.0,1.0
1,Coh,ns,19,30.0,70.0,6,6,2,0.1930432233321358,0.1675829752741672,0.4100928282708753,0.2268528720418325,0.1675829752741672,0.2268528720418325,0.10526315789473684,3.0,9.0,1.0,13.0,3.0
2,Coh,edges,171,30.0,70.0,52,52,11,0.24152613335291817,0.19187267966482813,0.505795935629257,0.5348062378462537,0.24152613335291817,0.505795935629257,0.06432748538011696,9.0,4.0,1.0,14.0,4.0
2,Coh,ns,19,30.0,70.0,6,6,3,0.24152613335291817,0.19187267966482813,0.505795935629257,0.5348062378462537,0.19187267966482813,0.5348062378462537,0.15789473684210525,3.0,5.0,1.0,9.0,4.0
5,Coh,edges,171,30.0,70.0,52,52,18,0.13898063408696515,0.11745958917297367,0.5889741899677308,0.4420096965400653,0.13898063408696515,0.5889741899677308,0.10526315789473684,1.0,7.0,1.0,9.0,1.0
5,Coh,ns,19,30.0,70.0,6,6,1,0.13898063408696515,0.11745958917297367,0.5889741899677308,0.4420096965400653,0.11745958917297367,0.4420096965400653,0.05263157894736842,7.0,9.0,1.0,17.0,8.0
9,Coh,edges,171,30.0,70.0,52,52,17,0.25953259357751113,0.17780594165121755,0.43360837763656485,0.40083735167657053,0.25953259357751113,0.43360837763656485,0.09941520467836257,3.0,9.0,1.0,13.0,3.0
