subject,metric,feature_type,n_features_valid,stability_percentile,kl_percentile,stable_count,highKL_count,stable_and_highKL_count
1,PLV,edges,171,30.0,70.0,52,52,25
1,PLV,ns,19,30.0,70.0,6,6,1
2,PLV,edges,171,30.0,70.0,52,52,13
2,PLV,ns,19,30.0,70.0,6,6,2
5,PLV,edges,171,30.0,70.0,52,52,13
5,PLV,ns,19,30.0,70.0,6,6,1
9,PLV,edges,171,30.0,70.0,52,52,20
9,PLV,ns,19,30.0,70.0,6,6,1
21,PLV,edges,171,30.0,70.0,52,52,16
21,PLV,ns,19,30.0,70.0,6,6,2
31,PLV,edges,171,30.0,70.0,52,52,11
31,PLV,ns,19,30.0,70.0,6,6,2
34,PLV,edges,171,30.0,70.0,52,52,18
34,PLV,ns,19,30.0,70.0,6,6,1
39,PLV,edges,171,30.0,70.0,52,52,12
39,PLV,ns,19,30.0,70.0,6,6,2
1,ImagPLV,edges,171,30.0,70.0,52,52,16
1,ImagPLV,ns,19,30.0,70.0,6,6,1
2,ImagPLV,edges,171,30.0,70.0,52,52,15
2,ImagPLV,ns,19,30.0,70.0,6,6,0
5,ImagPLV,edges,171,30.0,70.0,52,52,10
5,ImagPLV,ns,19,30.0,70.0,6,6,3
9,ImagPLV,edges,171,30.0,70.0,52,52,19
9,ImagPLV,ns,19,30.0,70.0,6,6,1
21,ImagPLV,edges,171,30.0,70.0,52,52,16
21,ImagPLV,ns,19,30.0,70.0,6,6,2
31,ImagPLV,edges,171,30.0,70.0,52,52,17
31,ImagPLV,ns,19,30.0,70.0,6,6,2
34,ImagPLV,edges,171,30.0,70.0,52,52,14
34,ImagPLV,ns,19,30.0,70.0,6,6,2
39,ImagPLV,edges,171,30.0,70.0,52,52,9
39,ImagPLV,ns,19,30.0,70.0,6,6,2
1,PLI,edges,171,30.0,70.0,52,52,13
1,PLI,ns,19,30.0,70.0,6,6,3
2,PLI,edges,171,30.0,70.0,52,52,12
2,PLI,ns,19,30.0,70.0,6,6,2
5,PLI,edges,171,30.0,70.0,52,52,17
5,PLI,ns,19,30.0,70.0,6,6,2
9,PLI,edges,171,30.0,70.0,52,52,17
9,PLI,ns,19,30.0,70.0,6,6,1
21,PLI,edges,171,30.0,70.0,52,52,12
21,PLI,ns,19,30.0,70.0,6,6,4
31,PLI,edges,171,30.0,70.0,52,52,15
31,PLI,ns,19,30.0,70.0,6,6,4
34,PLI,edges,171,30.0,70.0,52,52,13
34,PLI,ns,19,30.0,70.0,6,6,3
39,PLI,edges,171,30.0,70.0,52,52,16
39,PLI,ns,19,30.0,70.0,6,6,2
1,wPLI,edges,171,30.0,70.0,52,52,12
1,wPLI,ns,19,30.0,70.0,6,6,0
2,wPLI,edges,171,30.0,70.0,52,52,14
2,wPLI,ns,19,30.0,70.0,6,6,1
5,wPLI,edges,171,30.0,70.0,52,52,13
5,wPLI,ns,19,30.0,70.0,6,6,2
9,wPLI,edges,171,30.0,70.0,52,52,12
9,wPLI,ns,19,30.0,70.0,6,6,4
21,wPLI,edges,171,30.0,70.0,52,52,14
21,wPLI,ns,19,30.0,70.0,6,6,3
31,wPLI,edges,171,30.0,70.0,52,52,13
31,wPLI,ns,19,30.0,70.0,6,6,3
34,wPLI,edges,171,30.0,70.0,52,52,20
34,wPLI,ns,19,30.0,70.0,6,6,2
39,wPLI,edges,171,30.0,70.0,52,52,11
39,wPLI,ns,19,30.0,70.0,6,6,2
1,Coh,edges,171,30.0,70.0,52,52,22
1,Coh,ns,19,30.0,70.0,6,6,2
2,Coh,edges,171,30.0,70.0,52,52,11
2,Coh,ns,19,30.0,70.0,6,6,3
5,Coh,edges,171,30.0,70.0,52,52,18
5,Coh,ns,19,30.0,70.0,6,6,1
9,Coh,edges,171,30.0,70.0,52,52,17
9,Coh,ns,19,30.0,70.0,6,6,2
21,Coh,edges,171,30.0,70.0,52,52,11
21,Coh,ns,19,30.0,70.0,6,6,1
31,Coh,edges,171,30.0,70.0,52,52,15
31,Coh,ns,19,30.0,70.0,6,6,3
34,Coh,edges,171,30.0,70.0,52,52,17
34,Coh,ns,19,30.0,70.0,6,6,2
39,Coh,edges,171,30.0,70.0,52,52,13
39,Coh,ns,19,30.0,70.0,6,6,2
1,imCoh,edges,171,30.0,70.0,52,52,21
1,imCoh,ns,19,30.0,70.0,6,6,1
2,imCoh,edges,171,30.0,70.0,52,52,14
2,imCoh,ns,19,30.0,70.0,6,6,2
5,imCoh,edges,171,30.0,70.0,52,52,15
5,imCoh,ns,19,30.0,70.0,6,6,0
9,imCoh,edges,171,30.0,70.0,52,52,14
9,imCoh,ns,19,30.0,70.0,6,6,2
21,imCoh,edges,171,30.0,70.0,52,52,11
21,imCoh,ns,19,30.0,70.0,6,6,3
31,imCoh,edges,171,30.0,70.0,52,52,16
31,imCoh,ns,19,30.0,70.0,6,6,2
34,imCoh,edges,171,30.0,70.0,52,52,20
34,imCoh,ns,19,30.0,70.0,6,6,1
39,imCoh,edges,171,30.0,70.0,52,52,13
39,imCoh,ns,19,30.0,70.0,6,6,1
1,MSC,edges,171,30.0,70.0,52,52,19
1,MSC,ns,19,30.0,70.0,6,6,2
2,MSC,edges,171,30.0,70.0,52,52,19
2,MSC,ns,19,30.0,70.0,6,6,4
5,MSC,edges,171,30.0,70.0,52,52,9
5,MSC,ns,19,30.0,70.0,6,6,3
9,MSC,edges,171,30.0,70.0,52,52,12
9,MSC,ns,19,30.0,70.0,6,6,3
21,MSC,edges,171,30.0,70.0,52,52,20
21,MSC,ns,19,30.0,70.0,6,6,2
31,MSC,edges,171,30.0,70.0,52,52,18
31,MSC,ns,19,30.0,70.0,6,6,2
34,MSC,edges,171,30.0,70.0,52,52,11
34,MSC,ns,19,30.0,70.0,6,6,3
39,MSC,edges,171,30.0,70.0,52,52,16
39,MSC,ns,19,30.0,70.0,6,6,3
1,CMI,edges,171,30.0,70.0,52,52,20
1,CMI,ns,19,30.0,70.0,6,6,5
2,CMI,edges,171,30.0,70.0,52,52,17
2,CMI,ns,19,30.0,70.0,6,6,4
5,CMI,edges,171,30.0,70.0,52,52,13
5,CMI,ns,19,30.0,70.0,6,6,2
9,CMI,edges,171,30.0,70.0,52,52,13
9,CMI,ns,19,30.0,70.0,6,6,2
21,CMI,edges,171,30.0,70.0,52,52,10
21,CMI,ns,19,30.0,70.0,6,6,2
31,CMI,edges,171,30.0,70.0,52,52,13
31,CMI,ns,19,30.0,70.0,6,6,2
34,CMI,edges,171,30.0,70.0,52,52,16
34,CMI,ns,19,30.0,70.0,6,6,1
39,CMI,edges,171,30.0,70.0,52,52,14
39,CMI,ns,19,30.0,70.0,6,6,3
1,CFC,edges,171,30.0,70.0,52,52,14
1,CFC,ns,19,30.0,70.0,6,6,1
2,CFC,edges,171,30.0,70.0,52,52,29
2,CFC,ns,19,30.0,70.0,6,6,3
5,CFC,edges,171,30.0,70.0,52,52,18
5,CFC,ns,19,30.0,70.0,6,6,2
9,CFC,edges,171,30.0,70.0,52,52,9
9,CFC,ns,19,30.0,70.0,6,6,2
21,CFC,edges,171,30.0,70.0,52,52,13
21,CFC,ns,19,30.0,70.0,6,6,1
31,CFC,edges,171,30.0,70.0,52,52,14
31,CFC,ns,19,30.0,70.0,6,6,3
34,CFC,edges,171,30.0,70.0,52,52,16
34,CFC,ns,19,30.0,70.0,6,6,2
39,CFC,edges,171,30.0,70.0,52,52,17
39,CFC,ns,19,30.0,70.0,6,6,2
